Imputation,Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Mean,Random Forest,0.6554878048780488,0.6153846153846154,0.3125,0.41450777202072536,0.642978515625
Mean,XGBoost,0.6295731707317073,0.5371428571428571,0.3671875,0.4361948955916473,0.61103515625
Mean,SVM,0.6692073170731707,0.696969696969697,0.26953125,0.38873239436619716,0.6481494140624999
Mean,Logistic Regression,0.6097560975609756,0.0,0.0,0.0,0.5484179687499999
Mean,Decision Tree,0.6036585365853658,0.49137931034482757,0.4453125,0.4672131147540984,0.57515625
Mean,KNN,0.6112804878048781,0.5030674846625767,0.3203125,0.3914081145584726,0.5991357421875
Mean,Gradient Boosting,0.6509146341463414,0.6363636363636364,0.24609375,0.35492957746478876,0.6547119140625
Mean,AdaBoost,0.614329268292683,0.5555555555555556,0.05859375,0.10600706713780919,0.577197265625
Mean,Naive Bayes,0.614329268292683,0.5161290322580645,0.1875,0.27507163323782235,0.6087890625000001
Median,Random Forest,0.6585365853658537,0.6311475409836066,0.30078125,0.4074074074074074,0.6406689453125001
Median,XGBoost,0.6417682926829268,0.5573770491803278,0.3984375,0.4646924829157175,0.6256445312500001
Median,SVM,0.6707317073170732,0.7040816326530612,0.26953125,0.3898305084745763,0.648681640625
Median,Logistic Regression,0.6097560975609756,0.0,0.0,0.0,0.548076171875
Median,Decision Tree,0.5960365853658537,0.48132780082987553,0.453125,0.46680080482897385,0.5703125
Median,KNN,0.614329268292683,0.5093167701863354,0.3203125,0.3932853717026379,0.5978173828125
Median,Gradient Boosting,0.6524390243902439,0.6428571428571429,0.24609375,0.3559322033898305,0.6284716796875
Median,AdaBoost,0.614329268292683,0.5555555555555556,0.05859375,0.10600706713780919,0.577197265625
Median,Naive Bayes,0.614329268292683,0.5161290322580645,0.1875,0.27507163323782235,0.6090332031250001
KNN,Random Forest,0.6524390243902439,0.6111111111111112,0.30078125,0.4031413612565445,0.648134765625
KNN,XGBoost,0.6310975609756098,0.5380434782608695,0.38671875,0.45,0.624833984375
KNN,SVM,0.6676829268292683,0.69,0.26953125,0.38764044943820225,0.65033203125
KNN,Logistic Regression,0.6097560975609756,0.0,0.0,0.0,0.547666015625
KNN,Decision Tree,0.5792682926829268,0.4642857142857143,0.5078125,0.48507462686567165,0.56640625
KNN,KNN,0.6112804878048781,0.5031446540880503,0.3125,0.3855421686746988,0.5964453125
KNN,Gradient Boosting,0.6539634146341463,0.6464646464646465,0.25,0.36056338028169016,0.651171875
KNN,AdaBoost,0.6067073170731707,0.47368421052631576,0.0703125,0.12244897959183673,0.586689453125
KNN,Naive Bayes,0.6173780487804879,0.5263157894736842,0.1953125,0.2849002849002849,0.6168066406249999
Iterative,Random Forest,0.6646341463414634,0.6451612903225806,0.3125,0.42105263157894735,0.643564453125
Iterative,XGBoost,0.6265243902439024,0.5317919075144508,0.359375,0.4289044289044289,0.615966796875
Iterative,SVM,0.663109756097561,0.6732673267326733,0.265625,0.38095238095238093,0.6505371093749999
Iterative,Logistic Regression,0.6097560975609756,0.0,0.0,0.0,0.5484179687499999
Iterative,Decision Tree,0.600609756097561,0.48760330578512395,0.4609375,0.4738955823293173,0.57546875
Iterative,KNN,0.6128048780487805,0.5060975609756098,0.32421875,0.3952380952380952,0.6011767578125
Iterative,Gradient Boosting,0.6570121951219512,0.6422018348623854,0.2734375,0.3835616438356164,0.650810546875
Iterative,AdaBoost,0.6204268292682927,0.6842105263157895,0.05078125,0.09454545454545454,0.5936572265625001
Iterative,Naive Bayes,0.614329268292683,0.5157894736842106,0.19140625,0.2792022792022792,0.608388671875
